Year,County,Region,Type of Forest,Clear-cut Areal,3-10 years  Areal,11 - 20 years  Areal,21 - 30 years  Areal,31 - 40 years  Areal,41 - 60 years  Areal,61 - 80 years  Areal,81 - 100 years  Areal,101 - 120 years  Areal,121 - 140 years  Areal,141+ years  Areal,Yearly growth,Average Age,Clear-cut Percent,3-10 years  Percent,11 - 20 years  Percent,21 - 30 years  Percent,31 - 40 years  Percent,41 - 60 years  Percent,61 - 80 years  Percent,81 - 100 years  Percent,101 - 120 years  Percent,121 - 140 years  Percent,141+ years  Percent,Old Forest 100 120 140*
2006,05 Östergötlands län,Svealand,Unprotected,23.3,51.9,62.7,78.9,80,118.7,75.8,71.7,37,14,8,7.96,49.5,3.7,8.3,10.1,12.7,12.9,19.1,12.2,11.5,5.9,2.3,1.3,9.5
2006,06 Jönköpings län,Götaland,Unprotected,32.1,64.8,80.8,62.8,74.1,115.8,92.3,91.1,46.8,20.6,15.2,7.15,52.1,4.6,9.3,11.6,9,10.6,16.6,13.3,13.1,6.7,3,2.2,11.9
2006,07 Kronobergs län,Götaland,Unprotected,52.4,71,65.9,57.7,82.5,88.8,102.1,68.2,34.1,6.6,1.4,6.36,44.7,8.3,11.3,10.4,9.1,13.1,14.1,16.2,10.8,5.4,1,0.2,1.2
2006,08 Kalmar län,Götaland,Unprotected,28.7,57.1,64.8,80.2,65.7,127.1,123.3,68,49.4,21.2,5.5,7.22,51.6,4.2,8.3,9.4,11.6,9.5,18.4,17.8,9.8,7.1,3.1,0.8,11
2006,09 Gotlands län,Götaland,Unprotected,3.4,4.8,9.2,10.2,7.9,9,14.1,8.7,9.4,11.1,14.4,4.17,73.9,3.3,4.7,9,10,7.7,8.8,13.8,8.5,9.2,10.9,14.1,14.1
2006,10 Blekinge län,Götaland,Unprotected,8.3,18.5,10.8,22.3,22.9,28.9,37.4,10,6.8,1.5,,8.34,44.9,5,11.1,6.5,13.3,13.7,17.3,22.3,6,4.1,0.9,0,5
2006,12 Skåne län,Götaland,Unprotected,21.3,24.6,37.6,35.9,42,90.1,59.2,36.9,22.3,11.3,1,8.24,50,5.6,6.4,9.8,9.4,11,23.6,15.5,9.7,5.8,3,0.3,9.1
2006,13 Hallands län,Götaland,Unprotected,13.6,26.1,23.7,25.1,36.2,52.9,61.7,33.1,12,2.6,1.2,8.3,49.1,4.7,9.1,8.2,8.7,12.6,18.4,21.4,11.5,4.2,0.9,0.4,5.5
2006,14 Västra Götalands län,Götaland,Unprotected,57.8,115.7,121.3,141.3,150.6,224,167.3,139.2,80.1,31.5,20.8,7.66,50.1,4.6,9.3,9.7,11.3,12,17.9,13.4,11.1,6.4,2.5,1.7,10.6
2006,17 Värmlands län,Svealand,Unprotected,55.9,114.3,143.2,170.2,169.6,285,110.7,106.5,64.6,42.7,37.7,6.7,48.3,4.3,8.8,11,13.1,13,21.9,8.5,8.2,5,3.3,2.9,6.2
2006,18 Örebro län,Svealand,Unprotected,29.2,51.3,69.1,72.2,77.9,89.3,65.7,38.2,45.4,13.4,3.9,6.74,46.2,5.3,9.2,12.4,13,14,16.1,11.8,6.9,8.2,2.4,0.7,3.1
2006,19 Västmanlands län,Svealand,Unprotected,15.4,36.2,40,29.3,32.8,48.9,33,29.6,15.1,9.3,2.6,6.42,45.7,5.3,12.4,13.7,10,11.2,16.7,11.3,10.1,5.2,3.2,0.9,4.1
2006,20 Dalarnas län,Svealand,Unprotected,86.8,142.5,222.3,243.4,175.9,241.5,121.3,136.8,143.7,173.9,157.4,4.69,60.2,4.7,7.7,12,13.2,9.5,13.1,6.6,7.4,7.8,9.4,8.5,8.5
2006,21 Gävleborgs län,Södra Norrland,Unprotected,64.6,148.2,158.2,190.9,173,251.9,145.7,138.9,128.1,70.1,42.7,6.01,52.1,4.3,9.8,10.5,12.6,11.4,16.7,9.6,9.2,8.5,4.6,2.8,7.4
2006,22 Västernorrlands län,Södra Norrland,Unprotected,75.8,137.5,204,222.7,208.7,228.1,131.2,154.8,154.3,109.9,66.2,5.92,54.5,4.5,8.1,12,13.2,12.3,13.5,7.7,9.1,9.1,6.5,3.9,10.4
2006,23 Jämtlands län,Södra Norrland,Unprotected,107.3,217.5,278.9,275.3,213,257.7,117.9,185.7,271.2,287.5,324.2,4.23,68.3,4.2,8.6,11,10.9,8.4,10.2,4.6,7.3,10.7,11.3,12.8,12.8
2006,24 Västerbottens län,Norra Norrland,Unprotected,119.4,248.7,324.5,305.9,240.3,492.1,336.3,258.4,216.1,232.5,208.3,3.73,59.9,4,8.3,10.9,10.3,8.1,16.5,11.3,8.7,7.2,7.8,7,7
2006,25 Norrbottens län,Norra Norrland,Unprotected,102.6,266.8,236.8,371.5,309.8,614.6,403.4,300.6,248.7,264.8,267,2.93,62.9,3,7.9,7,11,9.1,18.1,11.9,8.9,7.3,7.8,7.9,7.9
